# ACME Inc Analytics CSV Export
# Start Date: 1 Jun 2025
# End Date: 30 Jun 2025


Hashtag,Top performing posts,Posts,Recent posts,Score,Reach,Reactions,Comments,Shares,Video views
#agenticai,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,1,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,13.64,0,6,0,0,0
#aianalysis,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,1,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,15.91,0,7,0,0,0
#aiefficiency,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,1,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,15.91,0,7,0,0,0
#aiforbusiness,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,1,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,15.91,0,7,0,0,0
#aiinbusiness,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,1,https://www.linkedin.com/feed/update/urn:li:share:7343894572231524370,15.91,0,7,0,0,0
#aiintegration,https://www.linkedin.com/feed/update/urn:li:share:7338458475779252224,1,https://www.linkedin.com/feed/update/urn:li:share:7338458475779252224,13.64,0,6,0,0,0
#aiorchestration,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,1,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,13.64,0,6,0,0,0
#airegulation,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,1,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,9.09,0,4,0,0,0
#aistrategy,https://www.linkedin.com/feed/update/urn:li:share:7338190795457372163,2,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,31.82,0,11,3,0,0
#businessresilience,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,1,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,6.82,0,3,0,0,0
#cloudoperations,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,1,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,13.64,0,6,0,0,0
#compliance,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,1,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,9.09,0,4,0,0,0
#dataprivacy,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,1,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,9.09,0,4,0,0,0
#datasovereignty,https://www.linkedin.com/feed/update/urn:li:share:7338458475779252224,3,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,43.18,0,16,3,0,0
#digitalautonomy,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,1,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,6.82,0,3,0,0,0
#digitalsecurity,https://www.linkedin.com/feed/update/urn:li:share:7338190795457372163,1,https://www.linkedin.com/feed/update/urn:li:share:7338190795457372163,22.73,0,7,3,0,0
#digitaltransformation,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,1,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,9.09,0,4,0,0,0
#enterpriseai,https://www.linkedin.com/feed/update/urn:li:share:7338458475779252224,2,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,27.27,0,12,0,0,0
#enterprisesecurity,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,1,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,6.82,0,3,0,0,0
#gdpr,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,1,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,9.09,0,4,0,0,0
#hyperautomation,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,1,https://www.linkedin.com/feed/update/urn:li:share:7336282930014552066,13.64,0,6,0,0,0
#mcp,https://www.linkedin.com/feed/update/urn:li:share:7338458475779252224,1,https://www.linkedin.com/feed/update/urn:li:share:7338458475779252224,13.64,0,6,0,0,0
#privateai,https://www.linkedin.com/feed/update/urn:li:share:7338458475779252224,3,https://www.linkedin.com/feed/update/urn:li:share:7335643184305254401,43.18,0,16,3,0,0
#riskmanagement,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,1,https://www.linkedin.com/feed/update/urn:li:share:7335925029014040576,9.09,0,4,0,0,0


