# ACME Inc Analytics CSV Export
# Start Date: 1 Jul 2025
# End Date: 31 Jul 2025


Hashtag,Top performing posts,Posts,Recent posts,Score,Reach,Reactions,Comments,Shares,Video views
#agenticai,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,4.76,0,5,0,0,0
#aiinnovation,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,5.71,0,6,0,0,0
#aiinsights,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,6.67,0,5,2,0,0
#aiproductivity,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,10.48,0,7,4,0,0
#airisks,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,3.81,0,3,1,0,0
#aistrategy,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,0.95,0,1,0,0,0
#aitransformation,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,4.76,0,5,0,0,0
#aiunderstanding,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,5.71,0,4,2,0,0
#artificialintelligence,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,5.71,0,6,0,0,0
#businessautomation,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,4.76,0,5,0,0,0
#businessleadership,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,0.95,0,1,0,0,0
#businessresilience,https://www.linkedin.com/feed/update/urn:li:share:12345,1,https://www.linkedin.com/feed/update/urn:li:share:12345,7.62,0,7,1,0,0
